"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"206","Non Fire Disturbances","13850_31_39_40_42",0.2576948,"Western Great Plains Wooded Draw and Ravine",2120,89426,0.5,23044.6151848
"207","Non Fire Disturbances","13940_39_40_41",0.002012,"North-Central Interior Oak Savanna",1599,12921,0.1,25.997052
"208","Non Fire Disturbances","13940_42",0.0019628,"North-Central Interior Oak Savanna",2121,56421,0.3,110.7431388
"209","Non Fire Disturbances","13940_50_51",0.0019986,"North-Central Interior Oak Savanna",1570,4403538,26.8,8800.9110468
"210","Non Fire Disturbances","13950_41_42_43_49_52",0.0354132,"North-Central Oak Barrens",1600,433,0,15.3339156
"211","Non Fire Disturbances","13950_41_42_43_49_52",0.0354132,"North-Central Oak Barrens",2122,4506,0,159.5718792
"212","Non Fire Disturbances","13950_50",0.036656,"North-Central Oak Barrens",1571,281144,1.7,10305.614464
"213","Non Fire Disturbances","14110_49_51_52",0.0178694,"Great Lakes Wet-Mesic Lakeplain Prairie",2027,1,0,0.0178694
"214","Non Fire Disturbances","14120_39_40_41_42_43_50_51",0.0064688,"North-Central Interior Sand and Gravel Tallgrass Prairie",1575,306100,1.9,1980.09968
"215","Non Fire Disturbances","14120_39_40_41_42_43_50_51",0.0064688,"North-Central Interior Sand and Gravel Tallgrass Prairie",2123,127398,0.8,824.1121824
"216","Non Fire Disturbances","14120_39_40_41_42_43_50_51",0.0064688,"North-Central Interior Sand and Gravel Tallgrass Prairie",1603,8984,0.1,58.1156992
"217","Non Fire Disturbances","14120_49",0.0063628,"North-Central Interior Sand and Gravel Tallgrass Prairie",2028,428,0,2.7232784
"218","Non Fire Disturbances","14200_39_40_42",0.284174,"Northern Tallgrass Prairie",2124,172429,1.1,48999.838646
"219","Non Fire Disturbances","14200_41",0.0242092,"Northern Tallgrass Prairie",1604,41848,0.3,1013.1066016
"220","Non Fire Disturbances","14210_31_38_42_43_44_50_51",0.024255,"Central Tallgrass Prairie",2125,1791267,10.9,43447.181085
